train\1\Im_B0\1.jpg ['0.2091203220', '12.6991097200', '0.0220812510', '4.4780905300', '0.0014995780', '-2.4168324420', '48.6404901700', '-3.3573481390'] 0.01121538108888889
train\6\Im_B5\82.jpg ['2.1150196950', '11.0110678000', '-0.0027670880', '5.4383097200', '0.0089508080', '-1.6229570030', '4.5775058330', '-2.0647918970'] 0.172808423
train\6\Im_B5\83.jpg ['2.1140979750', '11.0043044700', '0.0008242680', '5.4164116430', '0.0068031560', '-1.6110381540', '4.2237336210', '-2.0550371810'] 0.182574197
train\6\Im_B5\84.jpg ['2.1139871730', '10.9975433000', '0.0053112090', '5.3906408010', '0.0048594230', '-1.6007751920', '3.8687876370', '-2.0455708450'] 0.2314030671111111
train\6\Im_B5\85.jpg ['2.1200605980', '10.9907858900', '0.0102298480', '5.3637660120', '0.0031429040', '-1.5922234760', '3.5128441730', '-2.0361095830'] 0.24238956277777776
train\6\Im_B5\86.jpg ['2.1742497630', '10.9840398000', '0.0148368910', '5.3394203840', '0.0016440790', '-1.5855342320', '3.1560973750', '-2.0260286540'] 0.24238956277777776
train\6\Im_B5\87.jpg ['2.3402550460', '10.9773037300', '0.0108185690', '5.3650884500', '0.0003032100', '-1.5809903650', '2.7988343090', '-2.0151753920'] 0.24238956277777776
train\6\Im_B5\88.jpg ['2.5587886630', '10.9705680500', '0.0082634280', '5.3793530860', '-0.0008800980', '-1.5787278260', '2.4413330560', '-2.0038526790'] 0.24238956277777776
train\6\Im_B5\89.jpg ['2.7543040020', '10.9638279500', '0.0062611880', '5.3881378130', '-0.0018344510', '-1.5787891730', '2.0838116280', '-1.9924927520'] 0.24238956277777776
train\6\Im_B5\90.jpg ['2.8911175030', '10.9570843900', '0.0049533830', '5.3912598970', '-0.0024550890', '-1.5811757660', '1.7264278450', '-1.9814561640'] 0.24238956277777776
train\6\Im_B5\91.jpg ['2.9656137760', '10.9503402000', '0.0044594890', '5.3887191400', '-0.0026380910', '-1.5858426900', '1.3692946950', '-1.9709474290'] 0.24238956277777776
train\6\Im_B5\92.jpg ['2.9917907140', '10.9435976100', '0.0048233910', '5.3809059370', '-0.0023066440', '-1.5926639540', '1.0125059010', '-1.9609873280'] 0.24238956277777776
train\7\Im_B6\1.jpg ['0.1497637300', '12.0662146200', '0.0286122930', '3.2811405150', '0.0100387180', '-3.6205323060', '49.3982225800', '-2.6777480520'] 0.011520561533333333
train\7\Im_B6\2.jpg ['0.1476672380', '12.0594259600', '0.0290064570', '3.2913754990', '0.0092487690', '-3.6040574900', '48.7958848400', '-2.6694498070'] 0.011520561533333333
train\7\Im_B6\3.jpg ['0.1465750880', '12.0526394600', '0.0291728790', '3.3025915770', '0.0084930440', '-3.5879843940', '48.1938868100', '-2.6612107970'] 0.011520561533333333
train\7\Im_B6\4.jpg ['0.1462125180', '12.0458551200', '0.0290895190', '3.3148837020', '0.0077835720', '-3.5724070760', '47.5922293600', '-2.6530127700'] 0.011520561533333333
train\7\Im_B6\5.jpg ['0.1462373800', '12.0390729300', '0.0290682270', '3.3255338570', '0.0073088480', '-3.5594216950', '46.9909127400', '-2.6448495140'] 0.011520561533333333
train\7\Im_B6\6.jpg ['0.1463808300', '12.0322928900', '0.0285446880', '3.3397929760', '0.0067094250', '-3.5448233490', '46.3899368400', '-2.6367212690'] 0.011520561533333333
train\7\Im_B6\7.jpg ['0.1464913580', '12.0255150100', '0.0277805110', '3.3550594900', '0.0061805460', '-3.5308903160', '45.7893014800', '-2.6286301550'] 0.011520561533333333
train\7\Im_B6\8.jpg ['0.1465194770', '12.0187392700', '0.0267978860', '3.3712176170', '0.0057272740', '-3.5176499280', '45.1890064700', '-2.6205775340'] 0.011520561533333333
train\7\Im_B6\9.jpg ['0.1464779500', '12.0119656900', '0.0256223570', '3.3881356770', '0.0053530880', '-3.5051163560', '44.5890517400', '-2.6125631380'] 0.011520561533333333
train\7\Im_B6\10.jpg ['0.1464024890', '12.0051942500', '0.0242810890', '3.4056745450', '0.0050601090', '-3.4932927180', '43.9894373000', '-2.6045852970'] 0.011520561533333333
train\7\Im_B6\11.jpg ['0.1463254500', '11.9984249500', '0.0228017410', '3.4236932540', '0.0048493410', '-3.4821731420', '43.3901631800', '-2.5966415850'] 0.011520561533333333
train\7\Im_B6\12.jpg ['0.1462646820', '11.9916578000', '0.0203744150', '3.4459213540', '0.0037846720', '-3.4647850130', '42.7912294400', '-2.5887294020'] 0.011520561533333333
train\7\Im_B6\13.jpg ['0.1462236090', '11.9848927800', '0.0208258610', '3.4544665100', '0.0032415860', '-3.4513468580', '42.1926361300', '-2.5808463120'] 0.011520561533333333
train\7\Im_B6\14.jpg ['0.1461967590', '11.9781299100', '0.0214450500', '3.4620525120', '0.0026714580', '-3.4377562690', '41.5943832900', '-2.5729901180'] 0.011520561533333333
train\7\Im_B6\15.jpg ['0.1461759760', '11.9713691800', '0.0221246700', '3.4692209360', '0.0020876310', '-3.4241310340', '40.9964709600', '-2.5651587720'] 0.01121538108888889
train\7\Im_B6\16.jpg ['0.1461546660', '11.9646105800', '0.0227641880', '3.4764723200', '0.0015044340', '-3.4105947290', '40.3988987300', '-2.5573575070'] 0.0014496070777777778
train\7\Im_B6\17.jpg ['0.1459393490', '11.9578541100', '0.0232814090', '3.4842113780', '0.0009370360', '-3.3972729560', '39.8016519600', '-2.5498378420'] -0.010757610433333334
train\7\Im_B6\18.jpg ['0.1389923260', '11.9510996900', '0.0236243990', '3.4927327870', '0.0004066670', '-3.3842756470', '39.2046686400', '-2.5436487700'] -0.0168612192
train\7\Im_B6\19.jpg ['0.1035573200', '11.9443473600', '0.0237859460', '3.5022519410', '-0.0000464000', '-3.3716618670', '38.6078700500', '-2.5400708130'] -0.02967879758888889
train\7\Im_B6\20.jpg ['0.0319500390', '11.9375973300', '0.0237881230', '3.5128826140', '-0.0003755670', '-3.3594730590', '38.0112039000', '-2.5398824800'] -0.050888838022222216
train\7\Im_B6\21.jpg ['-0.0637296740', '11.9308497100', '0.0236593980', '3.5246372900', '-0.0005458440', '-3.3477549780', '37.4146072800', '-2.5439949160'] -0.06477454795555555
train\7\Im_B6\22.jpg ['-0.1883108200', '11.9241048000', '0.0231487980', '3.5418964780', '-0.0005192390', '-3.3365004080', '36.8179947900', '-2.5536099730'] -0.06858930342222222
train\7\Im_B6\23.jpg ['-0.3513096730', '11.9173628800', '0.0226123350', '3.5579091720', '-0.0005549210', '-3.3213270530', '36.2213273400', '-2.5690862270'] -0.0740825513111111
train\7\Im_B6\24.jpg ['-0.5301453200', '11.9106234100', '0.0220860310', '3.5749605910', '-0.0000858000', '-3.3101426090', '35.6246421500', '-2.5895458830'] -0.07835507744444445
train\7\Im_B6\25.jpg ['-0.6892340390', '11.9038857300', '0.0215805760', '3.5929411910', '0.0006416100', '-3.2993734280', '35.0280052100', '-2.6137255890'] -0.07850766765555556
train\7\Im_B6\26.jpg ['-0.8158506650', '11.8971497900', '0.0210945290', '3.6117440950', '0.0016037150', '-3.2889826420', '34.4314892800', '-2.6403462810'] -0.07850766765555556
train\7\Im_B6\27.jpg ['-0.9076176260', '11.8904155300', '0.0206232950', '3.6312590830', '0.0027724890', '-3.2789172660', '33.8351719300', '-2.6681549370'] -0.07850766765555556
train\7\Im_B6\28.jpg ['-0.9635157260', '11.8836829800', '0.0186172790', '3.6585772080', '0.0185917990', '-3.3439210550', '33.2391180400', '-2.6961745280'] -0.07850766765555556
train\7\Im_B6\29.jpg ['-0.9904457480', '11.8769523300', '0.0200232640', '3.6703469070', '0.0198301550', '-3.3312606360', '32.6433706800', '-2.7237988090'] -0.07850766765555556
train\7\Im_B6\30.jpg ['-0.9988721670', '11.8702237100', '0.0216109510', '3.6818484790', '0.0212380570', '-3.3187866280', '32.0479524500', '-2.7507348860'] -0.07576104372222223
train\7\Im_B6\31.jpg ['-0.9981782220', '11.8634971800', '0.0232950010', '3.6935298440', '0.0227459480', '-3.3061519780', '31.4528755200', '-2.7768410410'] -0.06935225452222221
train\7\Im_B6\32.jpg ['-0.9930566490', '11.8567725500', '0.0249882830', '3.7058503680', '0.0242861680', '-3.2930163830', '30.8581638100', '-2.8018363840'] -0.06553749904444445
train\7\Im_B6\33.jpg ['-0.9787408060', '11.8500494800', '0.0266040580', '3.7192057850', '0.0257916300', '-3.2790968890', '30.2638591900', '-2.8252485700'] -0.06477454795555555
train\7\Im_B6\34.jpg ['-0.9482126240', '11.8433281200', '0.0280645500', '3.7338743240', '0.0272001780', '-3.2641956590', '29.6699906300', '-2.8468047430'] -0.06370641642222222
train\7\Im_B6\35.jpg ['-0.9073845160', '11.8366089600', '0.0293204320', '3.7500090620', '0.0284702620', '-3.2481892660', '29.0765587700', '-2.8665824800'] -0.053940642399999995
train\7\Im_B6\36.jpg ['-0.8679803770', '11.8298921900', '0.0304713070', '3.7671412820', '0.0295146110', '-3.2307524760', '28.4835630000', '-2.8846603260'] -0.0434119173
train\7\Im_B6\37.jpg ['-0.8302127070', '11.8231772700', '0.0302742930', '3.7976597480', '0.0307938260', '-3.2137042940', '27.8910466700', '-2.9006223230'] -0.0426489662
train\7\Im_B6\38.jpg ['-0.7761773820', '11.8164639100', '0.0315819520', '3.8168368920', '0.0320421450', '-3.1960412170', '27.2990621900', '-2.9139970860'] -0.04188601511111111
train\7\Im_B6\39.jpg ['-0.7027884850', '11.8097527500', '0.0329486710', '3.8355468530', '0.0332295780', '-3.1777417750', '26.7076078900', '-2.9249236090'] -0.028152895400000003
train\7\Im_B6\40.jpg ['-0.6319820430', '11.8030441900', '0.0343024610', '3.8541928350', '0.0345871560', '-3.1541315490', '26.1166678500', '-2.9336646930'] -0.004196231022222222
train\7\Im_B6\41.jpg ['-0.5688142840', '11.7963376400', '0.0355928690', '3.8730845720', '0.0355389450', '-3.1327995920', '25.5263030100', '-2.9396811830'] 0.007095445177777778
train\7\Im_B6\42.jpg ['-0.4821989880', '11.7896326000', '0.0367613020', '3.8923581250', '0.0363464200', '-3.1109454660', '24.9366400400', '-2.9418368600'] 0.00877393758888889
train\7\Im_B6\43.jpg ['-0.3463693290', '11.7829298500', '0.0377428160', '3.9120276990', '0.0369533050', '-3.0886274120', '24.3477393500', '-2.9397267860'] 0.015793087666666667
train\7\Im_B6\44.jpg ['-0.1879414070', '11.7762299700', '0.0386695160', '3.9313052190', '0.0373419430', '-3.0659081250', '23.7595638200', '-2.9338783600'] 0.01945525292222222
train\7\Im_B6\45.jpg ['-0.0447125960', '11.7695326100', '0.0399638630', '3.9482751310', '0.0378010960', '-3.0439989890', '23.1720503300', '-2.9249979260'] 0.0579079881
train\7\Im_B6\46.jpg ['0.0739981620', '11.7628374700', '0.0414047830', '3.9642326380', '0.0384030830', '-3.0230652900', '22.5851798500', '-2.9133325490'] 0.08293278401111111
train\7\Im_B6\47.jpg ['0.1861368290', '11.7561450000', '0.0429722560', '3.9793815470', '0.0390638840', '-3.0027309300', '21.9991024200', '-2.8975956890'] 0.10017547875555556
train\7\Im_B6\48.jpg ['0.3605822240', '11.7494564200', '0.0445547180', '3.9939338460', '0.0397353220', '-2.9831575260', '21.4139649000', '-2.8766303660'] 0.10017547875555556
train\7\Im_B6\49.jpg ['0.5965900730', '11.7427720600', '0.0460090950', '4.0082912700', '0.0403651600', '-2.9644289310', '20.8297968300', '-2.8503481670'] 0.10017547875555556
train\7\Im_B6\50.jpg ['0.8489238820', '11.7360899100', '0.0472055330', '4.0230235510', '0.0409333840', '-2.9465164750', '20.2464733500', '-2.8199504100'] 0.10017547875555556
train\7\Im_B6\51.jpg ['1.0557895050', '11.7294079300', '0.0480540800', '4.0387998940', '0.0414632930', '-2.9292535670', '19.6638103700', '-2.7870418460'] 0.10948348211111111
train\7\Im_B6\52.jpg ['1.1922202460', '11.7227262200', '0.0448676040', '4.0797827870', '0.0419866300', '-2.9124102670', '19.0816549100', '-2.7528838290'] 0.12977798122222223
train\7\Im_B6\53.jpg ['1.2687573270', '11.7160464700', '0.0431044390', '4.1110395840', '0.0425194760', '-2.8957543090', '18.4999642600', '-2.7177839370'] 0.15037766077777778
train\7\Im_B6\54.jpg ['1.3301110530', '11.7093709100', '0.0414883550', '4.1402812790', '0.0429988220', '-2.8790085290', '17.9188141500', '-2.6811009900'] 0.15526054777777779
train\7\Im_B6\55.jpg ['1.4268597230', '11.7027005900', '0.0400289030', '4.1671885410', '0.0433334060', '-2.8620260980', '17.3383018500', '-2.6420763670'] 0.155413138
train\7\Im_B6\56.jpg ['1.5698840290', '11.6960335500', '0.0387291330', '4.1914585140', '0.0434082490', '-2.8446526150', '16.7584313100', '-2.6007287550'] 0.155413138
train\7\Im_B6\57.jpg ['1.7197057330', '11.6893667400', '0.0376287820', '4.2128926750', '0.0398396260', '-2.8081584400', '16.1791249100', '-2.5576892880'] 0.155413138
train\7\Im_B6\58.jpg ['1.8403741160', '11.6826992000', '0.0368020640', '4.2313463660', '0.0381027770', '-2.7829757890', '15.6002799000', '-2.5137324570'] 0.155413138
train\7\Im_B6\59.jpg ['1.9188592220', '11.6760317600', '0.0363363430', '4.2466995480', '0.0364528240', '-2.7594287370', '15.0218067100', '-2.4694894360'] 0.158922713
train\7\Im_B6\60.jpg ['1.9584924440', '11.6693656100', '0.0363268820', '4.2588294400', '0.0349447380', '-2.7375610790', '14.4436494600', '-2.4253115820'] 0.16884107733333334
train\7\Im_B6\61.jpg ['1.9725678430', '11.6627019400', '0.0368033720', '4.2678309190', '0.0336346400', '-2.7174532010', '13.8658046000', '-2.3811510970'] 0.16975661855555557
train\7\Im_B6\62.jpg ['1.9848968740', '11.6560421300', '0.0377905130', '4.2738222840', '0.0325268670', '-2.6991137780', '13.2883099300', '-2.3366658050'] 0.16975661855555557
train\7\Im_B6\63.jpg ['2.0158621820', '11.6493852800', '0.0392285120', '4.2772344860', '0.0316457130', '-2.6826598620', '12.7111811400', '-2.2916895340'] 0.16975661855555557
train\7\Im_B6\64.jpg ['2.0548662050', '11.6427297500', '0.0409959020', '4.2788984220', '0.0310127870', '-2.6681194050', '12.1344086700', '-2.2462215330'] 0.16350041966666667
train\7\Im_B6\65.jpg ['2.0896466020', '11.6360751300', '0.0428903820', '4.2800635740', '0.0306578910', '-2.6554753190', '11.5579656800', '-2.2003529030'] 0.14793621733333334
train\7\Im_B6\66.jpg ['2.1106709330', '11.6294208100', '0.0446276680', '4.2823144620', '0.0306108170', '-2.6446443990', '10.9817924300', '-2.1543622880'] 0.13405050733333335
train\7\Im_B6\67.jpg ['2.0983741390', '11.6227655200', '0.0458835980', '4.2873665190', '0.0309043030', '-2.6354261080', '10.4057978700', '-2.1086798620'] 0.12855725944444443
train\7\Im_B6\68.jpg ['2.0320808080', '11.6161097300', '0.0282886150', '4.3976222920', '0.0315663990', '-2.6274719790', '9.8299134500', '-2.0635091980'] 0.12855725944444443
train\7\Im_B6\69.jpg ['1.9201811700', '11.6094560900', '0.0242131950', '4.4350154200', '0.0325847120', '-2.6203183850', '9.2541384390', '-2.0185544480'] 0.12855725944444443
train\7\Im_B6\70.jpg ['1.7980736900', '11.6028066300', '0.0204124240', '4.4702003200', '0.0338756360', '-2.6134241290', '8.6785308130', '-1.9731212950'] 0.12520027466666667
train\7\Im_B6\71.jpg ['1.6988965940', '11.5961613500', '0.0169504710', '4.5027770800', '0.0352752650', '-2.6061440630', '8.1031641970', '-1.9264016950'] 0.11955443655555556
train\7\Im_B6\72.jpg ['1.6329209280', '11.5895189700', '0.0138753060', '4.5323670270', '0.0365669380', '-2.5977757060', '7.5280913160', '-1.8776680880'] 0.09925993743333333
train\7\Im_B6\73.jpg ['1.5889100020', '11.5828782200', '0.0112552590', '4.5585879250', '0.0375251250', '-2.5876671560', '6.9533237990', '-1.8263351940'] 0.07545586327777778
train\7\Im_B6\74.jpg ['1.5410879460', '11.5762372100', '0.0091939760', '4.5810664120', '0.0252348860', '-2.5183332100', '6.3788129740', '-1.7719938070'] 0.07087815671111111
train\7\Im_B6\75.jpg ['1.4460656470', '11.5695954500', '0.0078515510', '4.5994597870', '0.0230538450', '-2.4924439450', '5.8045073630', '-1.7140026250'] 0.07087815671111111
train\7\Im_B6\76.jpg ['1.2938625580', '11.5629560800', '0.0074223950', '4.6133483240', '0.0211941600', '-2.4678936890', '5.2304384000', '-1.6509963290'] 0.07087815671111111
train\7\Im_B6\77.jpg ['1.1323483800', '11.5563211800', '0.0080833510', '4.6221553670', '0.0196911720', '-2.4447048030', '4.6567071590', '-1.5809472980'] 0.07087815671111111
train\7\Im_B6\78.jpg ['1.0026789700', '11.5496903100', '0.0099832170', '4.6253237210', '0.0185467940', '-2.4229352640', '4.0834414130', '-1.5012644890'] 0.07087815671111111
train\7\Im_B6\79.jpg ['0.9190934740', '11.5430625400', '0.0132158990', '4.6226299690', '0.0177576810', '-2.4026581840', '3.5107713450', '-1.4086607790'] 0.07087815671111111
train\7\Im_B6\80.jpg ['0.8775612320', '11.5364371800', '0.0177618470', '4.6145416480', '0.0173286430', '-2.3839427410', '2.9966122790', '-1.3242921940'] 0.07820248722222221
train\7\Im_B6\81.jpg ['0.8655615390', '11.5298138400', '0.0233948970', '4.6026362370', '0.0172801960', '-2.3668523130', '2.7020622170', '-1.3298483240'] 0.10185397115555556
train\7\Im_B6\82.jpg ['0.8736890430', '11.5231928800', '0.0295769610', '4.5899122980', '0.0176476440', '-2.3514564390', '2.4029457670', '-1.3351659110'] 0.11665522244444444
train\7\Im_B6\83.jpg ['0.9161760620', '11.5165757200', '0.0354147840', '4.5805889360', '0.0184584030', '-2.3378630160', '2.0994679790', '-1.3400059880'] 0.13328755622222221
train\7\Im_B6\84.jpg ['1.0203829440', '11.5099627400', '0.0318383420', '4.6235998910', '0.0197162900', '-2.3262079440', '1.7919113150', '-1.3442547330'] 0.153276875
train\7\Im_B6\85.jpg ['1.1747504890', '11.5033534600', '0.0308127770', '4.6507845670', '0.0214277990', '-2.3165290320', '1.4805792600', '-1.3479133160'] 0.17723353933333333
train\7\Im_B6\86.jpg ['1.3647285290', '11.4967479000', '0.0305292030', '4.6724127990', '0.0235900600', '-2.3087439600', '1.1657392720', '-1.3510119020'] 0.22377355611111113
train\8\Im_B7\1.jpg ['0.1990742250', '10.3297966600', '0.0075873950', '3.6521785070', '-0.0105897220', '-3.2516349240', '49.7180757000', '-1.9377611300'] 0.007705806055555556
train\8\Im_B7\2.jpg ['0.1800065790', '10.3247265700', '0.0079685110', '3.6495224450', '-0.0113154540', '-3.2484749620', '49.2023634500', '-1.9296302150'] 0.0040436408
train\8\Im_B7\3.jpg ['0.1554192240', '10.3191507800', '0.0082032280', '3.6476374160', '-0.0120012290', '-3.2455352780', '48.6868532600', '-1.9227973360'] 0.002975509266666667
train\8\Im_B7\4.jpg ['0.1278081400', '10.3132398200', '0.0082745850', '3.6466248170', '-0.0126359770', '-3.2428658540', '48.1715614800', '-1.9173637090'] 0.002975509266666667
train\8\Im_B7\5.jpg ['0.0974007230', '10.3070623900', '0.0084603950', '3.6438303790', '-0.0132098240', '-3.2405042960', '47.6565200500', '-1.9131874790'] 0.002365148388888889
train\8\Im_B7\6.jpg ['0.0696014670', '10.3005310400', '0.0082515850', '3.6444654580', '-0.0135402720', '-3.2405328570', '47.1417579900', '-1.9099301610'] 0.0020599679555555555
train\8\Im_B7\7.jpg ['0.0489448440', '10.2940000400', '0.0078649920', '3.6460114800', '-0.0139944850', '-3.2387151530', '46.6272959700', '-1.9072661970'] 0.00038147554444444443
train\8\Im_B7\8.jpg ['0.0353668180', '10.2874700800', '0.0073063340', '3.6484006870', '-0.0143875110', '-3.2373033040', '46.1131493200', '-1.9049762910'] -0.0022125581777777776
train\8\Im_B7\9.jpg ['0.0266341290', '10.2809415300', '0.0065865650', '3.6515512120', '-0.0147201610', '-3.2363157750', '45.5993225200', '-1.9030711830'] -0.0040436408
train\8\Im_B7\10.jpg ['0.0174979980', '10.2744146100', '0.0057232100', '3.6553795480', '-0.0149894720', '-3.2357570530', '45.0858107200', '-1.9017414870'] -0.006027313644444444
train\8\Im_B7\11.jpg ['0.0036536880', '10.2678894800', '0.0047385650', '3.6598024890', '-0.0151894340', '-3.2356214810', '44.5726069200', '-1.9011706520'] -0.00892652781111111
train\8\Im_B7\12.jpg ['-0.0149355010', '10.2613662400', '0.0036552640', '3.6647339240', '-0.0153146450', '-3.2359005090', '44.0597036900', '-1.9015045540'] -0.009842069122222222
train\8\Im_B7\13.jpg ['-0.0375483130', '10.2548449700', '0.0024951830', '3.6700901600', '-0.0153608790', '-3.2365803870', '43.5470938600', '-1.9028486240'] -0.012283512622222223
train\8\Im_B7\14.jpg ['-0.0633215050', '10.2483257200', '-0.0000555000', '3.6821204510', '-0.0161978880', '-3.2312464940', '43.0347756800', '-1.9051549860'] -0.03242542153333334
train\8\Im_B7\15.jpg ['-0.0885566200', '10.2418085100', '0.0004754910', '3.6795246170', '-0.0164726700', '-3.2298035030', '42.5227308700', '-1.9087800210'] -0.06569008926666667
train\8\Im_B7\16.jpg ['-0.1232785700', '10.2352935900', '0.0011901940', '3.6762242890', '-0.0167395740', '-3.2280694320', '42.0108713100', '-1.9157498220'] -0.09315632867777777
train\8\Im_B7\17.jpg ['-0.2098997430', '10.2287818600', '0.0020644300', '3.6727088360', '-0.0169450960', '-3.2259882520', '41.4990477400', '-1.9294153190'] -0.10032806896666667
train\8\Im_B7\18.jpg ['-0.3841594720', '10.2222748800', '0.0031061300', '3.6695201180', '-0.0170036740', '-3.2234478090', '40.9871378200', '-1.9522299600'] -0.10032806896666667
train\8\Im_B7\19.jpg ['-0.6263134840', '10.2157723800', '0.0043135310', '3.6671120920', '-0.0168465590', '-3.2203820100', '40.4751276000', '-1.9839133300'] -0.10032806896666667
train\8\Im_B7\20.jpg ['-0.8675828700', '10.2092715200', '0.0056365890', '3.6657653450', '-0.0164650850', '-3.2168320900', '39.9630951500', '-2.0221170860'] -0.1012436102888889
train\8\Im_B7\21.jpg ['-1.0530041140', '10.2027704800', '0.0069908000', '3.6656344260', '-0.0158987380', '-3.2128913260', '39.4511526900', '-2.0639740300'] -0.10673685816666667
train\8\Im_B7\22.jpg ['-1.1660431300', '10.1962696000', '0.0082907880', '3.6667999460', '-0.0152016090', '-3.2086540770', '38.9393964400', '-2.1072457920'] -0.12321660177777777
train\8\Im_B7\23.jpg ['-1.2206203850', '10.1897703800', '0.0094756570', '3.6692977130', '-0.0144158270', '-3.2041936810', '38.4278623100', '-2.1511246720'] -0.14091706722222222
train\8\Im_B7\24.jpg ['-1.2537715890', '10.1832749800', '0.0105271170', '3.6731547370', '-0.0135514350', '-3.1995378440', '37.9165001500', '-2.1965138150'] -0.14335851066666666
train\8\Im_B7\25.jpg ['-1.3125321460', '10.1767847400', '0.0113762080', '3.6814548790', '-0.0125777900', '-3.1946536650', '37.4052246400', '-2.2448183720'] -0.14335851066666666
train\8\Im_B7\26.jpg ['-1.4125503690', '10.1702977400', '0.0120172760', '3.6899341350', '-0.0114513280', '-3.1895046760', '36.8940038900', '-2.2962828970'] -0.14335851066666666
train\8\Im_B7\27.jpg ['-1.5228774400', '10.1638110100', '0.0126272110', '3.6997542840', '-0.0104409610', '-3.1800279590', '36.3828634100', '-2.3501206980'] -0.14335851066666666
train\8\Im_B7\28.jpg ['-1.6142037730', '10.1573236300', '0.0132069110', '3.7108159970', '-0.0090433790', '-3.1738274250', '35.8718579800', '-2.4051582150'] -0.14335851066666666
train\8\Im_B7\29.jpg ['-1.6740274300', '10.1508362900', '0.0137464260', '3.7230177070', '-0.0075092270', '-3.1674866550', '35.3610465900', '-2.4603048690'] -0.14335851066666666
train\8\Im_B7\30.jpg ['-1.7030960120', '10.1443500600', '0.0142360010', '3.7362648970', '-0.0058621390', '-3.1610120400', '34.8504760400', '-2.5147921700'] -0.13984893566666667
train\8\Im_B7\31.jpg ['-1.7096409420', '10.1378656700', '0.0146724770', '3.7504701330', '-0.0041197070', '-3.1543938040', '34.3401784500', '-2.5681575630'] -0.1325246052222222
train\8\Im_B7\32.jpg ['-1.7021235010', '10.1313828900', '0.0150596520', '3.7655451410', '-0.0022933100', '-3.1476133630', '33.8301886700', '-2.6199445310'] -0.12428473333333333
train\8\Im_B7\33.jpg ['-1.6803650910', '10.1249008000', '0.0138205640', '3.7888559220', '0.0139835640', '-3.2141915800', '33.3205561200', '-2.6695417610'] -0.11787594411111112
train\8\Im_B7\34.jpg ['-1.6391063100', '10.1184190000', '0.0157264540', '3.7976196320', '0.0157153180', '-3.2044869230', '32.8113346400', '-2.7163497520'] -0.1169604028888889
train\8\Im_B7\35.jpg ['-1.5779063780', '10.1119381600', '0.0177188520', '3.8063630100', '0.0175111740', '-3.1946681730', '32.3025575100', '-2.7601072230'] -0.11024643320000001
train\8\Im_B7\36.jpg ['-1.5066823930', '10.1054597400', '0.0197397650', '3.8153407670', '0.0193262760', '-3.1845655940', '31.7942243400', '-2.8010073890'] -0.10399023422222221
train\8\Im_B7\37.jpg ['-1.4397629760', '10.0989838300', '0.0217384750', '3.8248491170', '0.0211266430', '-3.1739875740', '31.2863382000', '-2.8391717510'] -0.10322728313333333
train\8\Im_B7\38.jpg ['-1.3750446120', '10.0925098500', '0.0236621720', '3.8351571580', '0.0228776340', '-3.1627731340', '30.7789015800', '-2.8747163530'] -0.10032806896666667
train\8\Im_B7\39.jpg ['-1.3125389320', '10.0860383500', '0.0254633310', '3.8464969400', '0.0245486010', '-3.1507846340', '30.2718963300', '-2.9079904360'] -0.09391927977777777
train\8\Im_B7\40.jpg ['-1.2602695280', '10.0795695400', '0.0271119100', '3.8590533050', '0.0261222060', '-3.1379028680', '29.7653083100', '-2.9392619140'] -0.08674753947777777
train\8\Im_B7\41.jpg ['-1.2158919450', '10.0731027400', '0.0285897890', '3.8729190170', '0.0275869550', '-3.1240616390', '29.2591491000', '-2.9684871050'] -0.07118333714444444
train\8\Im_B7\42.jpg ['-1.1688650480', '10.0666374800', '0.0298801280', '3.8880846310', '0.0289307260', '-3.1092579960', '28.7534609500', '-2.9952947520'] -0.057145036999999996
train\8\Im_B7\43.jpg ['-1.1073212550', '10.0601730600', '0.0294904220', '3.9180478430', '0.0302190890', '-3.0938745180', '28.2483308600', '-3.0188704820'] -0.05455100327777778
train\8\Im_B7\44.jpg ['-1.0143605230', '10.0537096100', '0.0308691550', '3.9350230630', '0.0315786470', '-3.0785307270', '27.7438352800', '-3.0385820330'] -0.04798962386666667
train\8\Im_B7\45.jpg ['-0.8949865820', '10.0472488000', '0.0322826510', '3.9514143850', '0.0328484390', '-3.0627360060', '27.2399785900', '-3.0545772880'] -0.040817883577777776
train\8\Im_B7\46.jpg ['-0.7770026490', '10.0407912000', '0.0336787770', '3.9674967120', '0.0340189490', '-3.0464565320', '26.7367344800', '-3.0672787000'] -0.040817883577777776
train\8\Im_B7\47.jpg ['-0.6711336620', '10.0343363200', '0.0350207160', '3.9835133490', '0.0355356980', '-3.0265605340', '26.2340643200', '-3.0771879050'] -0.040817883577777776
train\8\Im_B7\48.jpg ['-0.5814430290', '10.0278841500', '0.0362844230', '3.9996657820', '0.0364062200', '-3.0076238480', '25.7319009500', '-3.0850441030'] -0.03898680094444445
train\8\Im_B7\49.jpg ['-0.5183311150', '10.0214346700', '0.0374654580', '4.0161321560', '0.0371757580', '-2.9882654810', '25.2301758600', '-3.0915481140'] -0.038223849855555554
train\8\Im_B7\50.jpg ['-0.4817383930', '10.0149875500', '0.0385692700', '4.0330444330', '0.0378572430', '-2.9684272750', '24.7288447800', '-3.0971340460'] -0.03807125963333333
train\8\Im_B7\51.jpg ['-0.4622380380', '10.0085425800', '0.0396008510', '4.0504882090', '0.0384635530', '-2.9480941700', '24.2278832900', '-3.1020359710'] -0.03807125963333333
